企业名称,企业logo,细分领域,细分领域（补充）,企业简介,产品介绍,企业优势tag,产品图片1,产品图片2,产品图片3,其他,fellow姓名,fellow联系方式
 √北京源力觉醒科技有限公司,,模型,"算法,场景应用","
LlamaGen.Ai 以人工智能为核心，致力于将人类创造力与科技深度结合，开创沉浸式故事体验的未来，专注于以生成式 AI（AIGC）技术驱动的内容创作，覆盖漫画、动画、游戏及营销等多元场景，通过自研 AI 模型和协作工具，让更多个人与企业能够轻松创作丰富多元的内容。","
通过Comic Studio-AI漫画创作工具、Cyani Model-精通动漫多维场景识别的 AI 模型、Llama Canvas-剧本与创意脚本生成的 AI 工具三款核心产品，为创作者与企业提供从灵感到成品的一站式解决方案。","
 
AI创作工具； 
角色一致性；
脚本驱动； 
 ",,,,"


创始团队来自清华大学、哥伦比亚大学及 Meta、百度等顶尖科技公司；
与康奈尔大学、纽约市政府等知名机构建立合作，项目应用场景涵盖教育、城市宣传和创意营销等。
 ",杨超辰,18810890511
 √北京实境智慧科技有限公司,,模型,场景应用,"
北京实境智慧科技有限公司成立于2016年，是以促进人类和机器人的协同进化为使命，专注于人工智能和虚拟现实技术。企业落地项目有AIOPS，VR LNG培训系统等",GPTMovie是面向消费用户的端到端交互视频生成系统。当前用户和GPT的交互以文本为主，本系统将实现用户和GPT 3D具身智能体的交互，在游戏，影视，培训等领域有广泛应用前景。,人工智能；虚拟现实；大语言模型；,,,,,杨超辰,18810890511
 √北京荆跃科技有限公司,,模型,"模型,算法",荆跃科技是一家拥有长达12年的大模型高效并行算法的应用优化经验，以国产自研的高性能多模态大模型服务为核心产品的大模型公司，面向二次元、虚拟世界领域提供多模态大模型服务。核心团队成员来自清华大学计算机系高性能所，有丰富的算法和系统优化经验。,绘跃：面向二次元、虚拟世界领域提供多模态大模型服务；支持创意文案、图像、视频生成等多模态服务，平台提供独有的精选大模型• 精准控制，支持用户多图层编辑；支持用户训练专有模型，高效快速获得高质量结果。,AI动漫绘制；大模型；多模态；,,,,,杨超辰,18810890511
√天赋智源人工智能科技有限公司,,模型,,天赋智源成立于2024年3月，公司拥有自研多模态大模型，拥有可根据不同职能需求调整和重构大模型能力，多年积累的垂直行业大小模型和行业模板，打造面向客户交付的功能型智能体。核心团队成员均有微软、联想、IBM等头部公司产品工程和交付经验，有着长期深度的交往历史和行业经验。,提供多智能体开发平台到多种垂类行业智能体，提效100倍。以工具智能体，业务智能体和智能体开发平台做为产品形成泛化年费制商业模式；,多智能体开发；自研大模型；泛制造业；,,,,"聚焦“AI智能体+行业”- 泛化四类行业智能体
国内最早的制造业大模型智能体开发和落地
全球和国内最早的大模型研究机构
自研多模态大模型全球排名第六
自研多模态大动作模型，解决大模型幻觉",杨超辰,18810890511
√ 北京星炬智械科技有限公司,,模型,"AI辅助机械设计,智能工业软件","
星炬智械，让创造更高效，成立于2024年11月，革命性提升智能装备厂商的「设计环节」效率，实现从「需求」到「制造」的智能化流程，从设计源头提升生产力，用AI代替设计流程中的低价值业务，消除设计师重复劳动，提升生产力。","
面向智能装备制造设计的AI工具产品，构建真正“理解”机械设计机理的AI模型体系。打通“方案设计-3D建模-工程制图-非标采购”的全流程智能化，用AI技术革新生产力结构。","AI机械设计；
多模态数据；
",,,,"驱动型创业者 + AI与机械领域顶尖人才 + 行业专家构成的核心团队
自有大量高质量标注图纸数据及设计案例素材
用于构建可进化“机械认知模型”的数据获取能力、领域认知以及产品技术能力",于剑楠,13683316933
√ 北京工业大数据创新中心有限公司,,智能工业软件,智能工业软件,北京工业大数据创新中心在北京市经信局指导下，于 2016 年 7 月成立。面向制造业创新发展的重大需求，创新中心突出产学研协同创新的资源整合功能，致力于工业数据智能的核心技术突破及行业应用推广，加速工业产业智慧升级。目前已服务能源电力、石油石化、电子制造、工程机械、动力装备等领域，并以北京为中心，建设覆盖京津冀、长三角、成渝双城地区的工业大数据创新网络。,中心自主研发K2Assets工业数据智能平台（提供覆盖“数据资产管理和数据驱动的智能决策”端到端工具链及协同工作环境）及配套工程方法，帮助工业企业低门槛掌握工业数据分析能力，加速工业数据应用创新，在能源电力、电子、冶金等领域，中心形成了面向高价值设备的智能运维和复杂生产过程的良率管理等解决方案，以及支撑工业现场高技能复合型人才(简称紫领）科学决策的AI紫领解决方案。,设备健康；生产运行优化；内置工业模板,,,,,王珅,13141371727
√北京万合之众科技有限公司,,智能工业软件,内容安全,"
万合之众是一家聚焦知识产权数据应用与管理的软件公司，总部位于北京。万合之众自主研发的首款产品“巧鲸云IP副驾驶”，以大数据和人工智能为支持，为用户营造安全、高效、便捷的商标档案管理环境。",万合之众顺应全球数字化经济发展形势，倾力打造“巧鲸云”数智化管理平台，为企业和知识产权服务机构提供集开发、咨询、维护于一体的IT解决方案。,数据应用；知识产权；企业信息安全,,,,,杨超辰,18810890511
北京谷溪未来科技有限公司,,,,,,,,,,,,
北京洵美且好科技有限公司,,,,,,,,,,,,
北京好耶科技有限公司,,,,,,,,,,,,
北京非十科技有限公司,,,,,,,,,,,,
北京星动时光科技有限公司,,,,,,,,,,,,
北京智域维度科技有限公司,,,,,,,,,,,,
北京启物科技有限公司,,,,,,,,,,,,
北京零码居家科技有限公司,,,,,,,,,,,,
北京千艺通慧科技有限公司,,,,,,,,,,,,
北京创琦科技有限公司,,,,,,,,,,,,
北京神元力量科技有限公司,,,,,,,,,,,,
北京极想智能科技有限公司,,,,,,,,,,,,
跨越星空（北京）科技有限公司,,,,,,,,,,,,
北京星续科技有限公司,,,,,,,,,,,,
北京扩散未来科技有限公司,,,,,,,,,,,,
北京云泥科技有限公司,,,,,,,,,,,,
北京松雪长青科技有限公司,,,,,,,,,,,,
北京福流寰宇科技开发有限公司,,,,,,,,,,,,
北京爱教练科技有限公司,,,,,,,,,,,,
北京肆拾贰智能科技有限公司,,,,,,,,,,,,
北京盒智科技有限责任公司,,,,,,,,,,,,
北京摸星科技有限公司,,,,,,,,,,,,
北京飞脑科技有限公司,,,,,,,,,,,,
北京岭客科技有限公司,,,,,,,,,,,,
北京招就科技有限公司,,,,,,,,,,,,
北京明时克蒂科技有限公司,,,,,,,,,,,,
北京韬耀好风科技有限公司,,,,,,,,,,,,
北京楔形文字科技有限公司,,,,,,,,,,,,
北京智进科技有限公司,,,,,,,,,,,,
北京搭爪科技有限公司,,,,,,,,,,,,
北京天城智连科技有限公司,,,,,,,,,,,,
北京极职科技有限公司,,,,,,,,,,,,
北京陶御科技有限公司,,,,,,,,,,,,
天屹源创（北京）智能科技有限公司,,,,,,,,,,,,
北京叁博视界人工智能科技有限公司,,,,,,,,,,,,
北京融基药研科技有限公司,,,,,,,,,,,,
北京原语科技有限公司,,,,,,,,,,,,
北京冬阳科技有限公司,,,,,,,,,,,,
北京明瞰科技有限公司,,,,,,,,,,,,
北京锟森源创科技有限公司,,,,,,,,,,,,
北京清蓝智汇科技有限公司,,,,,,,,,,,,
北京幻觉工坊科技有限公司,,,,,,,,,,,,
北京凌晨极光科技有限公司,,,,,,,,,,,,
北京奇点数智科技有限公司,,,,,,,,,,,,
躬富科技有限责任公司,,,,,,,,,,,,
